year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2012,4,17,3,0.008324786,0.022240283,0.016649199,-0.00249169,1.148158803
2012,4,18,4,-0.000674934,0.007893246,0.002254776,0.022534895,-0.554439534
2012,4,19,5,0.005274698,-0.004591164,-0.004785902,-0.003898087,-0.060715359
2012,4,20,6,-0.010541356,0.000128121,-0.001647019,-0.004943168,0.21856
2012,4,23,2,-0.020403577,-0.010030081,-0.005294282,-0.017343712,0.652048319
2012,4,24,3,-0.002733534,-0.015053774,-0.022197511,-0.005398309,-0.567318391
2012,4,25,4,-0.005413528,-0.005809908,-0.000976876,-0.010653283,0.720793534
2012,4,26,5,-0.003134889,-0.004307033,-0.008168051,0.003967681,-0.528608027
2012,4,27,6,0.002043839,-0.002531496,0.005419908,-0.005360242,0.990036232
2012,4,30,2,0.012622306,0.006307842,0.010869194,0.018011955,-0.315202549
2012,5,1,3,0,0,0,0,0
2012,5,2,4,0.002899735,0.007110606,0.002104135,0.006694352,-0.309405118
2012,5,3,5,-0.017469389,-0.004959787,-0.012184139,-0.017337244,0.49759384
2012,5,4,6,-0.032014852,-0.016439106,-0.018252997,-0.033910052,0.998071979
2012,5,7,2,0.00754921,-0.039613455,-0.015687307,-0.028413312,0.38372467
2012,5,8,3,-0.02912007,0.025303031,0.001357119,0.004867887,-0.076011158
2012,5,9,4,-0.01918394,-0.039598765,-0.03544888,-0.019545171,-0.416603774
2012,5,10,5,0.000648605,-0.011059157,0.000840964,0.002317875,-0.058645968
2012,5,11,6,-0.001360125,-0.006194385,-0.004984134,-0.006990953,0.081081081
2012,5,14,2,-0.01494451,0.00632387,-0.003550954,-0.011439605,0.30720339
2012,5,15,3,0.006702565,-0.024026305,-0.014459721,-0.002633211,-0.366774716
2012,5,16,4,-0.016679721,-0.000217712,-0.016375668,-0.012988076,-0.175326337
2012,5,17,5,-0.001096653,0.001638639,0.013069943,0.007361516,0.3336437
2012,5,18,6,0.01704682,-0.020261971,0.003880581,-0.012991502,0.719571794
2012,5,21,2,0.010928815,0.03182035,0.01220007,0.033867875,-0.515360671
2012,5,22,3,-0.01521462,0.022640028,0.004573291,-0.005037689,0.503769897
2012,5,23,4,-0.006354652,-0.028715781,-0.023802023,-0.010358747,-0.485793872
2012,5,24,5,0.024723395,0.004319421,0.018078348,0.004537413,0.913687252
2012,5,25,6,0.001981436,0.01565119,0.003518708,0.018785161,-0.526514437
2012,5,28,2,0.025591405,0.006436755,0.023112562,0.011903047,0.860502192
2012,5,29,3,0.001010486,0.026547226,0.006890341,0.021569951,-0.589545844
2012,5,30,4,-0.017928328,-0.009517353,-0.014437647,-0.017899078,0.33559499
2012,5,31,5,-0.009759756,-0.023630499,-0.016889299,-0.016207268,-0.067604533
2012,6,1,6,-0.018366698,0.002135039,0.001466345,-0.01147964,1.017183571
2012,6,4,2,0.010218395,-0.027547976,-0.009164406,-0.015363249,0.229170995
2012,6,5,3,0.010451492,0.028197568,0.014803987,0.031820602,-0.509296822
2012,6,6,4,0.029877962,0.009090186,0.023587031,0.01262187,0.733723734
2012,6,7,5,0.021359363,0.032724026,0.020883974,0.028254018,-0.257897874
2012,6,8,6,0.00481866,0.014144754,0.005664331,0.002247662,0.184738956
2012,6,11,2,-0.002965341,0.010090726,0.012615639,0.012650421,0.011073446
2012,6,12,3,0.017052522,-0.016951088,-0.000132903,-0.00409702,0.17590523
2012,6,13,4,-0.00108983,0.025309487,0.006710055,0.018381034,-0.432237217
2012,6,14,5,-0.028751549,-0.007536946,-0.012499328,-0.025959782,0.895547372
2012,6,15,6,0.023162667,-0.019069837,0.00021294,0.00690365,-0.23172024
2012,6,18,2,-0.031287259,0.03010201,0.009793146,-0.018803004,1.308965517
2012,6,19,3,0.003748756,-0.044096337,-0.038223931,-0.00788502,-0.6239546
2012,6,20,4,0.004633958,0.008514902,0.006897431,0.015105285,-0.411172889
2012,6,21,5,0.02053032,-0.001722232,0.017340631,0.0004967,1.496402878
2012,6,22,6,0.000468424,0.011372047,0.002642606,0.010701893,-0.280979827
2012,6,25,2,-0.011216983,0.016306076,0.011912503,0.001919211,0.506262525
2012,6,26,3,0.004468176,-0.015304552,-0.016559654,0.000914807,-0.591551638
2012,6,27,4,0.004784305,0.011160084,0.008479099,0.00875089,-0.013436482
2012,6,28,5,-0.001392521,-0.000154607,-0.005682689,-0.003844421,-0.157243087
2012,6,29,6,0.033667038,0.008135556,0.030620163,0.015612908,1.493143976
2012,7,2,2,0.006919294,0.025832595,0.008716216,0.019613179,-0.423885288
2012,7,3,3,0.006636446,0.009019438,0.008994957,0.013650502,-0.31810433
2012,7,4,4,0.004593896,0.005965583,0.000436255,0.003691008,-0.3395
2012,7,5,5,0.01067957,-0.000223333,0.009697694,-0.001345054,1.762301287
2012,7,6,6,0.001263872,0.011207171,0.003445621,0.00750806,-0.229651959
